Year,Fatigue_Avg
2006,0.38386735740172206
2007,0.35960978143608185
2008,0.35174015618405985
2009,0.33879004811582186
2010,0.4038233387599392
2011,0.38657139974765586
2012,0.3685135746299459
2013,0.40052083121450804
2014,0.38072578942019786
2015,0.36638900371663524
2016,0.3823708515086553
2017,0.3376413052139464
2018,0.2099937736283753
2020,0.3942238976772028
2021,0.4908343905353614
2023,0.42227248875975154
2024,0.43162090625916827
2025,0.41166097458044104
