Year,Total_TPI,TPI_per_G,Prod_Score,Res_Score,Fatigue_Avg,GP
2006,1123.9382346276775,86.45678727905212,9.879502336644208,1.6049160156321847,5.452701379699552,13.0
2007,791.3171154095783,39.56585577047891,6.99287283898998,1.1063052478639281,5.114344282295109,20.0
2008,783.2438595728421,60.24952765944939,8.64836006032522,1.4111845899703288,4.936692298292385,13.0
2009,1003.9794593703054,71.71281852645039,21.545042137871274,0.6283864882943435,5.296910146629273,14.0
2010,534.1693345868399,48.56084859880363,14.478021212213626,0.6733727842931816,4.981056859455034,11.0
2011,972.6008060319465,46.31432409675936,8.548507745401222,1.1553424076205716,4.68936789935164,21.0
2012,1079.1483504138735,46.91949349625537,12.71375613803666,0.7237109661143237,5.099343700696275,23.0
2013,738.6313161528448,32.114405050123686,10.900535868828225,0.6350013404003648,4.639566354790426,23.0
2014,1127.7039849299417,59.35284131210219,15.76567117262206,0.9165183052085374,4.1075977435949085,19.0
2015,1824.8057376149347,91.24028688074674,8.921364990126941,1.740113378423664,5.87729904243268,20.0
2016,2074.9083891679065,98.80516138894792,14.853598525053775,1.5036017405681914,4.424000127535645,21.0
2017,1305.1568937846282,76.77393492850754,14.700682138622259,1.1206779828881765,4.6601025432023935,17.0
2018,2641.163731604926,120.05289689113299,15.08103257042938,1.4702604492964395,5.414362031797669,22.0
2019,,,,,,
2020,875.5218574687783,41.69151702232278,14.092290578935302,0.7595384318592968,3.8950797562604658,21.0
2021,116.42684012889544,16.632405732699347,7.298907674643902,0.6795159045743142,3.3534943139116256,7.0
2022,,,,,,
2023,720.9774119977641,42.410435999868476,6.653204311365904,1.667340709334698,3.8231164188271625,17.0
2024,392.5874806279721,78.51749612559442,12.135504879888572,1.8637489065662445,3.471532143926924,5.0
2025,564.2395168165814,70.52993960207267,10.046915590526533,1.9248246070999766,3.647116164894578,8.0
