Year,Total_TPI,TPI_per_G,Prod_Score,Res_Score,Fatigue_Avg,GP
2006,119.92577881336663,9.22505990872051,9.879502336644208,1.3572460722228843,0.6879795567568139,13.0
2007,88.06177152544407,4.403088576272204,6.99287283898998,1.234900905820382,0.5098820016505444,20.0
2008,125.04176202528205,9.61859707886785,8.64836006032522,1.7630171524037985,0.6308432094517549,13.0
2009,126.54465809826547,9.038904149876105,21.545042137871274,0.634082250308864,0.6616416514839983,14.0
2010,56.12361717535549,5.102147015941409,14.478021212213626,0.7029412390067056,0.5013312044313826,11.0
2011,47.04236689645431,2.240112709354967,8.548507745401222,0.6071700252359854,0.4315878771882254,21.0
2012,148.153709949608,6.4414656499829555,12.71375613803666,0.8422001069542281,0.6015829596120312,23.0
2013,87.93889628675188,3.8234302733370384,10.900535868828225,0.7573167354011047,0.4631565092957831,23.0
2014,154.5331491819367,8.133323641154563,15.76567117262206,1.1120232769238303,0.4639185217718156,19.0
2015,172.92302732223123,8.646151366111562,8.921364990126941,1.3213060141511312,0.7334797276280169,20.0
2016,191.7620045571063,9.131524026528872,14.853598525053775,1.4312043454670595,0.4295462566832203,21.0
2017,158.05067332974443,9.297098431161437,14.700682138622259,1.2347990481860351,0.5121694330867606,17.0
2018,380.2035657099064,17.2819802595412,15.08103257042938,1.6743336551577108,0.6844164194602084,22.0
2019,,,,,,
2020,58.24186843512743,2.7734223064346395,14.092290578935302,0.5644335363159672,0.3486756384213811,21.0
2021,24.44131893863684,3.491616991233834,7.298907674643902,1.3097739583804995,0.3652349898915708,7.0
2022,,,,,,
2023,57.15210219360192,3.3618883643295248,6.653204311365904,1.5403248760997437,0.3280500426000024,17.0
2024,45.34024675029778,9.068049350059557,12.135504879888572,1.8637489065662443,0.400930064696572,5.0
2025,18.76636920829523,2.345796151036904,10.046915590526533,0.6220633270840394,0.3753383296816576,8.0
